jda:block/1	x=320	y=768	w=32	h=32
minecraft:block/horn_coral	x=688	y=928	w=16	h=16
minecraft:block/horn_coral_block	x=704	y=928	w=16	h=16
minecraft:block/horn_coral_fan	x=720	y=928	w=16	h=16
minecraft:block/ice	x=736	y=928	w=16	h=16
minecraft:block/iron_bars	x=752	y=928	w=16	h=16
minecraft:block/iron_block	x=0	y=944	w=16	h=16
minecraft:block/iron_door_bottom	x=16	y=944	w=16	h=16
minecraft:block/iron_door_top	x=32	y=944	w=16	h=16
minecraft:block/iron_ore	x=48	y=944	w=16	h=16
minecraft:block/iron_trapdoor	x=64	y=944	w=16	h=16
minecraft:block/item_frame	x=80	y=944	w=16	h=16
minecraft:block/jack_o_lantern	x=96	y=944	w=16	h=16
minecraft:block/jigsaw_bottom	x=112	y=944	w=16	h=16
minecraft:block/jigsaw_lock	x=128	y=944	w=16	h=16
minecraft:block/jigsaw_side	x=144	y=944	w=16	h=16
minecraft:block/jigsaw_top	x=160	y=944	w=16	h=16
minecraft:block/jukebox_side	x=176	y=944	w=16	h=16
minecraft:block/jukebox_top	x=192	y=944	w=16	h=16
minecraft:block/jungle_door_bottom	x=208	y=944	w=16	h=16
minecraft:block/jungle_door_top	x=224	y=944	w=16	h=16
minecraft:block/jungle_leaves	x=240	y=944	w=16	h=16
minecraft:block/jungle_log	x=256	y=944	w=16	h=16
minecraft:block/jungle_log_top	x=272	y=944	w=16	h=16
minecraft:block/jungle_planks	x=288	y=944	w=16	h=16
minecraft:block/jungle_sapling	x=304	y=944	w=16	h=16
minecraft:block/jungle_trapdoor	x=320	y=944	w=16	h=16
minecraft:block/kelp	x=336	y=944	w=16	h=16
minecraft:block/kelp_plant	x=352	y=944	w=16	h=16
minecraft:block/ladder	x=368	y=944	w=16	h=16
minecraft:block/lantern	x=384	y=944	w=16	h=16
minecraft:block/lapis_block	x=400	y=944	w=16	h=16
minecraft:block/lapis_ore	x=416	y=944	w=16	h=16
minecraft:block/large_amethyst_bud	x=432	y=944	w=16	h=16
minecraft:block/large_fern_bottom	x=448	y=944	w=16	h=16
minecraft:block/large_fern_top	x=464	y=944	w=16	h=16
minecraft:block/lava_flow	x=352	y=768	w=32	h=32
minecraft:block/lava_still	x=480	y=944	w=16	h=16
minecraft:block/lectern_base	x=496	y=944	w=16	h=16
minecraft:block/lectern_front	x=512	y=944	w=16	h=16
minecraft:block/lectern_sides	x=528	y=944	w=16	h=16
minecraft:block/lectern_top	x=544	y=944	w=16	h=16
minecraft:block/lever	x=560	y=944	w=16	h=16
minecraft:block/light_blue_candle	x=576	y=944	w=16	h=16
minecraft:block/light_blue_candle_lit	x=592	y=944	w=16	h=16
minecraft:block/light_blue_concrete	x=608	y=944	w=16	h=16
minecraft:block/light_blue_concrete_powder	x=624	y=944	w=16	h=16
minecraft:block/light_blue_glazed_terracotta	x=640	y=944	w=16	h=16
minecraft:block/light_blue_shulker_box	x=656	y=944	w=16	h=16
minecraft:block/light_blue_stained_glass	x=672	y=944	w=16	h=16
minecraft:block/light_blue_stained_glass_pane_top	x=688	y=944	w=16	h=16
minecraft:block/light_blue_terracotta	x=704	y=944	w=16	h=16
minecraft:block/light_blue_wool	x=720	y=944	w=16	h=16
minecraft:block/light_gray_candle	x=736	y=944	w=16	h=16
minecraft:block/light_gray_candle_lit	x=752	y=944	w=16	h=16
minecraft:block/light_gray_concrete	x=0	y=960	w=16	h=16
minecraft:block/light_gray_concrete_powder	x=16	y=960	w=16	h=16
minecraft:block/light_gray_glazed_terracotta	x=32	y=960	w=16	h=16
minecraft:block/light_gray_shulker_box	x=48	y=960	w=16	h=16
minecraft:block/light_gray_stained_glass	x=64	y=960	w=16	h=16
minecraft:block/light_gray_stained_glass_pane_top	x=80	y=960	w=16	h=16
minecraft:block/light_gray_terracotta	x=96	y=960	w=16	h=16
minecraft:block/light_gray_wool	x=112	y=960	w=16	h=16
minecraft:block/lightning_rod	x=128	y=960	w=16	h=16
minecraft:block/lightning_rod_on	x=144	y=960	w=16	h=16
minecraft:block/lilac_bottom	x=160	y=960	w=16	h=16
minecraft:block/lilac_top	x=176	y=960	w=16	h=16
minecraft:block/lily_of_the_valley	x=192	y=960	w=16	h=16
minecraft:block/lily_pad	x=208	y=960	w=16	h=16
minecraft:block/lime_candle	x=224	y=960	w=16	h=16
minecraft:block/lime_candle_lit	x=240	y=960	w=16	h=16
minecraft:block/lime_concrete	x=256	y=960	w=16	h=16
minecraft:block/lime_concrete_powder	x=272	y=960	w=16	h=16
minecraft:block/lime_glazed_terracotta	x=288	y=960	w=16	h=16
minecraft:block/lime_shulker_box	x=304	y=960	w=16	h=16
minecraft:block/lime_stained_glass	x=320	y=960	w=16	h=16
minecraft:block/lime_stained_glass_pane_top	x=336	y=960	w=16	h=16
minecraft:block/lime_terracotta	x=352	y=960	w=16	h=16
minecraft:block/lime_wool	x=368	y=960	w=16	h=16
minecraft:block/lodestone_side	x=384	y=960	w=16	h=16
minecraft:block/lodestone_top	x=400	y=960	w=16	h=16
minecraft:block/loom_bottom	x=416	y=960	w=16	h=16
minecraft:block/loom_front	x=432	y=960	w=16	h=16
minecraft:block/loom_side	x=448	y=960	w=16	h=16
minecraft:block/loom_top	x=464	y=960	w=16	h=16
minecraft:block/magenta_candle	x=480	y=960	w=16	h=16
minecraft:block/magenta_candle_lit	x=496	y=960	w=16	h=16
minecraft:block/magenta_concrete	x=512	y=960	w=16	h=16
minecraft:block/magenta_concrete_powder	x=528	y=960	w=16	h=16
minecraft:block/magenta_glazed_terracotta	x=544	y=960	w=16	h=16
minecraft:block/magenta_shulker_box	x=560	y=960	w=16	h=16
minecraft:block/magenta_stained_glass	x=576	y=960	w=16	h=16
minecraft:block/magenta_stained_glass_pane_top	x=592	y=960	w=16	h=16
minecraft:block/magenta_terracotta	x=608	y=960	w=16	h=16
minecraft:block/magenta_wool	x=624	y=960	w=16	h=16
minecraft:block/magma	x=640	y=960	w=16	h=16
minecraft:block/mangrove_door_bottom	x=656	y=960	w=16	h=16
minecraft:block/mangrove_door_top	x=672	y=960	w=16	h=16
minecraft:block/mangrove_leaves	x=688	y=960	w=16	h=16
minecraft:block/mangrove_log	x=704	y=960	w=16	h=16
minecraft:block/mangrove_log_top	x=720	y=960	w=16	h=16
minecraft:block/mangrove_planks	x=736	y=960	w=16	h=16
minecraft:block/mangrove_propagule	x=752	y=960	w=16	h=16
minecraft:block/mangrove_propagule_hanging	x=0	y=976	w=16	h=16
minecraft:block/mangrove_roots_side	x=16	y=976	w=16	h=16
minecraft:block/mangrove_roots_top	x=32	y=976	w=16	h=16
minecraft:block/mangrove_trapdoor	x=48	y=976	w=16	h=16
minecraft:block/medium_amethyst_bud	x=64	y=976	w=16	h=16
minecraft:block/melon_side	x=80	y=976	w=16	h=16
minecraft:block/melon_stem	x=96	y=976	w=16	h=16
minecraft:block/melon_top	x=112	y=976	w=16	h=16
neoforge:block/milk_flowing	x=384	y=768	w=32	h=32
neoforge:block/milk_still	x=128	y=976	w=16	h=16
minecraft:block/moss_block	x=144	y=976	w=16	h=16
minecraft:block/mossy_cobblestone	x=160	y=976	w=16	h=16
minecraft:block/mossy_stone_bricks	x=176	y=976	w=16	h=16
minecraft:block/mud	x=192	y=976	w=16	h=16
minecraft:block/mud_bricks	x=208	y=976	w=16	h=16
minecraft:block/muddy_mangrove_roots_side	x=224	y=976	w=16	h=16
minecraft:block/muddy_mangrove_roots_top	x=240	y=976	w=16	h=16
minecraft:block/mushroom_block_inside	x=256	y=976	w=16	h=16
minecraft:block/mushroom_stem	x=272	y=976	w=16	h=16
minecraft:block/mycelium_side	x=288	y=976	w=16	h=16
minecraft:block/mycelium_top	x=304	y=976	w=16	h=16
minecraft:block/nether_bricks	x=320	y=976	w=16	h=16
minecraft:block/nether_gold_ore	x=336	y=976	w=16	h=16
minecraft:block/nether_portal	x=352	y=976	w=16	h=16
minecraft:block/nether_quartz_ore	x=368	y=976	w=16	h=16
minecraft:block/nether_sprouts	x=384	y=976	w=16	h=16
minecraft:block/nether_wart_block	x=400	y=976	w=16	h=16
minecraft:block/nether_wart_stage0	x=416	y=976	w=16	h=16
minecraft:block/nether_wart_stage1	x=432	y=976	w=16	h=16
minecraft:block/nether_wart_stage2	x=448	y=976	w=16	h=16
minecraft:block/netherite_block	x=464	y=976	w=16	h=16
minecraft:block/netherrack	x=480	y=976	w=16	h=16
minecraft:block/note_block	x=496	y=976	w=16	h=16
minecraft:block/oak_door_bottom	x=512	y=976	w=16	h=16
minecraft:block/oak_door_top	x=528	y=976	w=16	h=16
minecraft:block/oak_leaves	x=544	y=976	w=16	h=16
minecraft:block/oak_log	x=560	y=976	w=16	h=16
minecraft:block/oak_log_top	x=576	y=976	w=16	h=16
minecraft:block/oak_planks	x=592	y=976	w=16	h=16
minecraft:block/oak_sapling	x=608	y=976	w=16	h=16
minecraft:block/oak_trapdoor	x=624	y=976	w=16	h=16
minecraft:block/observer_back	x=640	y=976	w=16	h=16
minecraft:block/observer_back_on	x=656	y=976	w=16	h=16
minecraft:block/observer_front	x=672	y=976	w=16	h=16
minecraft:block/observer_side	x=688	y=976	w=16	h=16
minecraft:block/observer_top	x=704	y=976	w=16	h=16
minecraft:block/obsidian	x=720	y=976	w=16	h=16
minecraft:block/ochre_froglight_side	x=736	y=976	w=16	h=16
minecraft:block/ochre_froglight_top	x=752	y=976	w=16	h=16
minecraft:block/orange_candle	x=0	y=992	w=16	h=16
minecraft:block/orange_candle_lit	x=16	y=992	w=16	h=16
minecraft:block/orange_concrete	x=32	y=992	w=16	h=16
minecraft:block/orange_concrete_powder	x=48	y=992	w=16	h=16
minecraft:block/orange_glazed_terracotta	x=64	y=992	w=16	h=16
minecraft:block/orange_shulker_box	x=80	y=992	w=16	h=16
minecraft:block/orange_stained_glass	x=96	y=992	w=16	h=16
minecraft:block/orange_stained_glass_pane_top	x=112	y=992	w=16	h=16
minecraft:block/orange_terracotta	x=128	y=992	w=16	h=16
minecraft:block/orange_tulip	x=144	y=992	w=16	h=16
minecraft:block/orange_wool	x=160	y=992	w=16	h=16
minecraft:block/oxeye_daisy	x=176	y=992	w=16	h=16
minecraft:block/oxidized_chiseled_copper	x=192	y=992	w=16	h=16
minecraft:block/oxidized_copper	x=208	y=992	w=16	h=16
minecraft:block/oxidized_copper_bulb	x=224	y=992	w=16	h=16
minecraft:block/oxidized_copper_bulb_lit	x=240	y=992	w=16	h=16
minecraft:block/oxidized_copper_bulb_lit_powered	x=256	y=992	w=16	h=16
minecraft:block/oxidized_copper_bulb_powered	x=272	y=992	w=16	h=16
minecraft:block/oxidized_copper_door_bottom	x=288	y=992	w=16	h=16
minecraft:block/oxidized_copper_door_top	x=304	y=992	w=16	h=16
minecraft:block/oxidized_copper_grate	x=320	y=992	w=16	h=16
minecraft:block/oxidized_copper_trapdoor	x=336	y=992	w=16	h=16
minecraft:block/oxidized_cut_copper	x=352	y=992	w=16	h=16
minecraft:block/packed_ice	x=368	y=992	w=16	h=16
minecraft:block/packed_mud	x=384	y=992	w=16	h=16
minecraft:block/pearlescent_froglight_side	x=400	y=992	w=16	h=16
minecraft:block/pearlescent_froglight_top	x=416	y=992	w=16	h=16
minecraft:block/peony_bottom	x=432	y=992	w=16	h=16
minecraft:block/peony_top	x=448	y=992	w=16	h=16
minecraft:block/pink_candle	x=464	y=992	w=16	h=16
minecraft:block/pink_candle_lit	x=480	y=992	w=16	h=16
minecraft:block/pink_concrete	x=496	y=992	w=16	h=16
minecraft:block/pink_concrete_powder	x=512	y=992	w=16	h=16
minecraft:block/pink_glazed_terracotta	x=528	y=992	w=16	h=16
minecraft:block/pink_petals	x=544	y=992	w=16	h=16
minecraft:block/pink_petals_stem	x=560	y=992	w=16	h=16
minecraft:block/pink_shulker_box	x=576	y=992	w=16	h=16
minecraft:block/pink_stained_glass	x=592	y=992	w=16	h=16
minecraft:block/pink_stained_glass_pane_top	x=608	y=992	w=16	h=16
minecraft:block/pink_terracotta	x=624	y=992	w=16	h=16
minecraft:block/pink_tulip	x=640	y=992	w=16	h=16
minecraft:block/pink_wool	x=656	y=992	w=16	h=16
minecraft:block/piston_bottom	x=672	y=992	w=16	h=16
minecraft:block/piston_inner	x=688	y=992	w=16	h=16
minecraft:block/piston_side	x=704	y=992	w=16	h=16
minecraft:block/piston_top	x=720	y=992	w=16	h=16
minecraft:block/piston_top_sticky	x=736	y=992	w=16	h=16
minecraft:block/pitcher_crop_bottom	x=752	y=992	w=16	h=16
minecraft:block/pitcher_crop_bottom_stage_1	x=0	y=1008	w=16	h=16
minecraft:block/pitcher_crop_bottom_stage_2	x=16	y=1008	w=16	h=16
minecraft:block/pitcher_crop_bottom_stage_3	x=32	y=1008	w=16	h=16
minecraft:block/pitcher_crop_bottom_stage_4	x=48	y=1008	w=16	h=16
minecraft:block/pitcher_crop_side	x=64	y=1008	w=16	h=16
minecraft:block/pitcher_crop_top	x=80	y=1008	w=16	h=16
minecraft:block/pitcher_crop_top_stage_3	x=96	y=1008	w=16	h=16
minecraft:block/pitcher_crop_top_stage_4	x=112	y=1008	w=16	h=16
minecraft:block/podzol_side	x=128	y=1008	w=16	h=16
minecraft:block/podzol_top	x=144	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_down_base	x=160	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_down_frustum	x=176	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_down_middle	x=192	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_down_tip	x=208	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_down_tip_merge	x=224	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_up_base	x=240	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_up_frustum	x=256	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_up_middle	x=272	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_up_tip	x=288	y=1008	w=16	h=16
minecraft:block/pointed_dripstone_up_tip_merge	x=304	y=1008	w=16	h=16
minecraft:block/polished_andesite	x=320	y=1008	w=16	h=16
minecraft:block/polished_basalt_side	x=336	y=1008	w=16	h=16
minecraft:block/polished_basalt_top	x=352	y=1008	w=16	h=16
minecraft:block/polished_blackstone	x=368	y=1008	w=16	h=16
minecraft:block/polished_blackstone_bricks	x=384	y=1008	w=16	h=16
minecraft:block/polished_deepslate	x=400	y=1008	w=16	h=16
minecraft:block/polished_diorite	x=416	y=1008	w=16	h=16
minecraft:block/polished_granite	x=432	y=1008	w=16	h=16
minecraft:block/polished_tuff	x=448	y=1008	w=16	h=16
minecraft:block/poppy	x=464	y=1008	w=16	h=16
minecraft:block/potatoes_stage0	x=480	y=1008	w=16	h=16
minecraft:block/potatoes_stage1	x=496	y=1008	w=16	h=16
minecraft:block/potatoes_stage2	x=512	y=1008	w=16	h=16
minecraft:block/potatoes_stage3	x=528	y=1008	w=16	h=16
minecraft:block/potted_azalea_bush_plant	x=544	y=1008	w=16	h=16
minecraft:block/potted_azalea_bush_side	x=560	y=1008	w=16	h=16
minecraft:block/potted_azalea_bush_top	x=576	y=1008	w=16	h=16
minecraft:block/potted_flowering_azalea_bush_plant	x=592	y=1008	w=16	h=16
minecraft:block/potted_flowering_azalea_bush_side	x=608	y=1008	w=16	h=16
minecraft:block/potted_flowering_azalea_bush_top	x=624	y=1008	w=16	h=16
minecraft:block/powder_snow	x=640	y=1008	w=16	h=16
minecraft:block/powered_rail	x=656	y=1008	w=16	h=16
minecraft:block/powered_rail_on	x=672	y=1008	w=16	h=16
minecraft:block/prismarine	x=688	y=1008	w=16	h=16
minecraft:block/prismarine_bricks	x=704	y=1008	w=16	h=16
minecraft:block/pumpkin_side	x=720	y=1008	w=16	h=16
minecraft:block/pumpkin_stem	x=736	y=1008	w=16	h=16
minecraft:block/pumpkin_top	x=752	y=1008	w=16	h=16
minecraft:block/purple_candle	x=768	y=0	w=16	h=16
minecraft:block/purple_candle_lit	x=768	y=16	w=16	h=16
minecraft:block/purple_concrete	x=768	y=32	w=16	h=16
minecraft:block/purple_concrete_powder	x=768	y=48	w=16	h=16
minecraft:block/purple_glazed_terracotta	x=768	y=64	w=16	h=16
minecraft:block/purple_shulker_box	x=768	y=80	w=16	h=16
minecraft:block/purple_stained_glass	x=768	y=96	w=16	h=16
minecraft:block/purple_stained_glass_pane_top	x=768	y=112	w=16	h=16
minecraft:block/purple_terracotta	x=768	y=128	w=16	h=16
minecraft:block/purple_wool	x=768	y=144	w=16	h=16
minecraft:block/purpur_block	x=768	y=160	w=16	h=16
minecraft:block/purpur_pillar	x=768	y=176	w=16	h=16
minecraft:block/purpur_pillar_top	x=768	y=192	w=16	h=16
minecraft:block/quartz_block_bottom	x=768	y=208	w=16	h=16
minecraft:block/quartz_block_side	x=768	y=224	w=16	h=16
minecraft:block/quartz_block_top	x=768	y=240	w=16	h=16
minecraft:block/quartz_bricks	x=768	y=256	w=16	h=16
minecraft:block/quartz_pillar	x=768	y=272	w=16	h=16
minecraft:block/quartz_pillar_top	x=768	y=288	w=16	h=16
minecraft:block/rail	x=768	y=304	w=16	h=16
minecraft:block/rail_corner	x=768	y=320	w=16	h=16
minecraft:block/raw_copper_block	x=768	y=336	w=16	h=16
minecraft:block/raw_gold_block	x=768	y=352	w=16	h=16
minecraft:block/raw_iron_block	x=768	y=368	w=16	h=16
minecraft:block/red_candle	x=768	y=384	w=16	h=16
minecraft:block/red_candle_lit	x=768	y=400	w=16	h=16
minecraft:block/red_concrete	x=768	y=416	w=16	h=16
minecraft:block/red_concrete_powder	x=768	y=432	w=16	h=16
minecraft:block/red_glazed_terracotta	x=768	y=448	w=16	h=16
minecraft:block/red_mushroom	x=768	y=464	w=16	h=16
minecraft:block/red_mushroom_block	x=768	y=480	w=16	h=16
minecraft:block/red_nether_bricks	x=768	y=496	w=16	h=16
minecraft:block/red_sand	x=768	y=512	w=16	h=16
minecraft:block/red_sandstone	x=768	y=528	w=16	h=16
minecraft:block/red_sandstone_bottom	x=768	y=544	w=16	h=16
minecraft:block/red_sandstone_top	x=768	y=560	w=16	h=16
minecraft:block/red_shulker_box	x=768	y=576	w=16	h=16
minecraft:block/red_stained_glass	x=768	y=592	w=16	h=16
minecraft:block/red_stained_glass_pane_top	x=768	y=608	w=16	h=16
minecraft:block/red_terracotta	x=768	y=624	w=16	h=16
minecraft:block/red_tulip	x=768	y=640	w=16	h=16
minecraft:block/red_wool	x=768	y=656	w=16	h=16
minecraft:block/redstone_block	x=768	y=672	w=16	h=16
minecraft:block/redstone_dust_dot	x=768	y=688	w=16	h=16
minecraft:block/redstone_dust_line0	x=768	y=704	w=16	h=16
minecraft:block/redstone_dust_line1	x=768	y=720	w=16	h=16
minecraft:block/redstone_dust_overlay	x=768	y=736	w=16	h=16
minecraft:block/redstone_lamp	x=768	y=752	w=16	h=16
minecraft:block/redstone_lamp_on	x=768	y=768	w=16	h=16
minecraft:block/redstone_ore	x=768	y=784	w=16	h=16
minecraft:block/redstone_torch	x=768	y=800	w=16	h=16
minecraft:block/redstone_torch_off	x=768	y=816	w=16	h=16
minecraft:block/reinforced_deepslate_bottom	x=768	y=832	w=16	h=16
minecraft:block/reinforced_deepslate_side	x=768	y=848	w=16	h=16
minecraft:block/reinforced_deepslate_top	x=768	y=864	w=16	h=16
minecraft:block/repeater	x=768	y=880	w=16	h=16
minecraft:block/repeater_on	x=768	y=896	w=16	h=16
minecraft:block/repeating_command_block_back	x=768	y=912	w=16	h=16
minecraft:block/repeating_command_block_conditional	x=768	y=928	w=16	h=16
minecraft:block/repeating_command_block_front	x=768	y=944	w=16	h=16
minecraft:block/repeating_command_block_side	x=768	y=960	w=16	h=16
minecraft:block/respawn_anchor_bottom	x=768	y=976	w=16	h=16
minecraft:block/respawn_anchor_side0	x=768	y=992	w=16	h=16
minecraft:block/respawn_anchor_side1	x=768	y=1008	w=16	h=16
minecraft:block/respawn_anchor_side2	x=784	y=0	w=16	h=16
minecraft:block/respawn_anchor_side3	x=784	y=16	w=16	h=16
minecraft:block/respawn_anchor_side4	x=784	y=32	w=16	h=16
minecraft:block/respawn_anchor_top	x=784	y=48	w=16	h=16
minecraft:block/respawn_anchor_top_off	x=784	y=64	w=16	h=16
minecraft:block/rooted_dirt	x=784	y=80	w=16	h=16
minecraft:block/rose_bush_bottom	x=784	y=96	w=16	h=16
minecraft:block/rose_bush_top	x=784	y=112	w=16	h=16
minecraft:block/sand	x=784	y=128	w=16	h=16
minecraft:block/sandstone	x=784	y=144	w=16	h=16
minecraft:block/sandstone_bottom	x=784	y=160	w=16	h=16
minecraft:block/sandstone_top	x=784	y=176	w=16	h=16
minecraft:block/scaffolding_bottom	x=784	y=192	w=16	h=16
minecraft:block/scaffolding_side	x=784	y=208	w=16	h=16
minecraft:block/scaffolding_top	x=784	y=224	w=16	h=16
minecraft:block/sculk	x=784	y=240	w=16	h=16
minecraft:block/sculk_catalyst_bottom	x=784	y=256	w=16	h=16
minecraft:block/sculk_catalyst_side	x=784	y=272	w=16	h=16
minecraft:block/sculk_catalyst_side_bloom	x=784	y=288	w=16	h=16
minecraft:block/sculk_catalyst_top	x=784	y=304	w=16	h=16
minecraft:block/sculk_catalyst_top_bloom	x=784	y=320	w=16	h=16
minecraft:block/sculk_sensor_bottom	x=784	y=336	w=16	h=16
minecraft:block/sculk_sensor_side	x=784	y=352	w=16	h=16
minecraft:block/sculk_sensor_tendril_active	x=784	y=368	w=16	h=16
minecraft:block/sculk_sensor_tendril_inactive	x=784	y=384	w=16	h=16
minecraft:block/sculk_sensor_top	x=784	y=400	w=16	h=16
minecraft:block/sculk_shrieker_bottom	x=784	y=416	w=16	h=16
minecraft:block/sculk_shrieker_can_summon_inner_top	x=784	y=432	w=16	h=16
minecraft:block/sculk_shrieker_inner_top	x=784	y=448	w=16	h=16
minecraft:block/sculk_shrieker_side	x=784	y=464	w=16	h=16
minecraft:block/sculk_shrieker_top	x=784	y=480	w=16	h=16
minecraft:block/sculk_vein	x=784	y=496	w=16	h=16
minecraft:block/sea_lantern	x=784	y=512	w=16	h=16
minecraft:block/sea_pickle	x=784	y=528	w=16	h=16
minecraft:block/seagrass	x=784	y=544	w=16	h=16
minecraft:block/short_grass	x=784	y=560	w=16	h=16
minecraft:block/shroomlight	x=784	y=576	w=16	h=16
minecraft:block/shulker_box	x=784	y=592	w=16	h=16
minecraft:block/slime_block	x=784	y=608	w=16	h=16
minecraft:block/small_amethyst_bud	x=784	y=624	w=16	h=16
minecraft:block/small_dripleaf_side	x=784	y=640	w=16	h=16
minecraft:block/small_dripleaf_stem_bottom	x=784	y=656	w=16	h=16
minecraft:block/small_dripleaf_stem_top	x=784	y=672	w=16	h=16
minecraft:block/small_dripleaf_top	x=784	y=688	w=16	h=16
minecraft:block/smithing_table_bottom	x=784	y=704	w=16	h=16
minecraft:block/smithing_table_front	x=784	y=720	w=16	h=16
minecraft:block/smithing_table_side	x=784	y=736	w=16	h=16
minecraft:block/smithing_table_top	x=784	y=752	w=16	h=16
minecraft:block/smoker_bottom	x=784	y=768	w=16	h=16
minecraft:block/smoker_front	x=784	y=784	w=16	h=16
minecraft:block/smoker_front_on	x=784	y=800	w=16	h=16
minecraft:block/smoker_side	x=784	y=816	w=16	h=16
minecraft:block/smoker_top	x=784	y=832	w=16	h=16
minecraft:block/smooth_basalt	x=784	y=848	w=16	h=16
minecraft:block/smooth_stone	x=784	y=864	w=16	h=16
minecraft:block/smooth_stone_slab_side	x=784	y=880	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_bottom	x=784	y=896	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_east	x=784	y=912	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_north	x=784	y=928	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_south	x=784	y=944	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_top	x=784	y=960	w=16	h=16
minecraft:block/sniffer_egg_not_cracked_west	x=784	y=976	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_bottom	x=784	y=992	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_east	x=784	y=1008	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_north	x=800	y=0	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_south	x=800	y=16	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_top	x=800	y=32	w=16	h=16
minecraft:block/sniffer_egg_slightly_cracked_west	x=800	y=48	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_bottom	x=800	y=64	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_east	x=800	y=80	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_north	x=800	y=96	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_south	x=800	y=112	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_top	x=800	y=128	w=16	h=16
minecraft:block/sniffer_egg_very_cracked_west	x=800	y=144	w=16	h=16
minecraft:block/snow	x=800	y=160	w=16	h=16
minecraft:block/soul_campfire_fire	x=800	y=176	w=16	h=16
minecraft:block/soul_campfire_log_lit	x=800	y=192	w=16	h=16
minecraft:block/soul_fire_0	x=800	y=208	w=16	h=16
minecraft:block/soul_fire_1	x=800	y=224	w=16	h=16
minecraft:block/soul_lantern	x=800	y=240	w=16	h=16
minecraft:block/soul_sand	x=800	y=256	w=16	h=16
minecraft:block/soul_soil	x=800	y=272	w=16	h=16
minecraft:block/soul_torch	x=800	y=288	w=16	h=16
minecraft:block/spawner	x=800	y=304	w=16	h=16
minecraft:block/sponge	x=800	y=320	w=16	h=16
minecraft:block/spore_blossom	x=800	y=336	w=16	h=16
minecraft:block/spore_blossom_base	x=800	y=352	w=16	h=16
minecraft:block/spruce_door_bottom	x=800	y=368	w=16	h=16
minecraft:block/spruce_door_top	x=800	y=384	w=16	h=16
minecraft:block/spruce_leaves	x=800	y=400	w=16	h=16
minecraft:block/spruce_log	x=800	y=416	w=16	h=16
minecraft:block/spruce_log_top	x=800	y=432	w=16	h=16
minecraft:block/spruce_planks	x=800	y=448	w=16	h=16
minecraft:block/spruce_sapling	x=800	y=464	w=16	h=16
minecraft:block/spruce_trapdoor	x=800	y=480	w=16	h=16
minecraft:block/stone	x=800	y=496	w=16	h=16
minecraft:block/stone_bricks	x=800	y=512	w=16	h=16
minecraft:block/stonecutter_bottom	x=800	y=528	w=16	h=16
minecraft:block/stonecutter_saw	x=800	y=544	w=16	h=16
minecraft:block/stonecutter_side	x=800	y=560	w=16	h=16
minecraft:block/stonecutter_top	x=800	y=576	w=16	h=16
minecraft:block/stripped_acacia_log	x=800	y=592	w=16	h=16
minecraft:block/stripped_acacia_log_top	x=800	y=608	w=16	h=16
minecraft:block/stripped_bamboo_block	x=800	y=624	w=16	h=16
minecraft:block/stripped_bamboo_block_top	x=800	y=640	w=16	h=16
minecraft:block/stripped_birch_log	x=800	y=656	w=16	h=16
minecraft:block/stripped_birch_log_top	x=800	y=672	w=16	h=16
minecraft:block/stripped_cherry_log	x=800	y=688	w=16	h=16
minecraft:block/stripped_cherry_log_top	x=800	y=704	w=16	h=16
minecraft:block/stripped_crimson_stem	x=800	y=720	w=16	h=16
minecraft:block/stripped_crimson_stem_top	x=800	y=736	w=16	h=16
minecraft:block/stripped_dark_oak_log	x=800	y=752	w=16	h=16
minecraft:block/stripped_dark_oak_log_top	x=800	y=768	w=16	h=16
minecraft:block/stripped_jungle_log	x=800	y=784	w=16	h=16
minecraft:block/stripped_jungle_log_top	x=800	y=800	w=16	h=16
minecraft:block/stripped_mangrove_log	x=800	y=816	w=16	h=16
minecraft:block/stripped_mangrove_log_top	x=800	y=832	w=16	h=16
minecraft:block/stripped_oak_log	x=800	y=848	w=16	h=16
minecraft:block/stripped_oak_log_top	x=800	y=864	w=16	h=16
